Team,Date,Score,Score adjusted,Score with region multiplier
T1,1/28/2024 9:43,9.327036346,39.36984678,73739.72301
GAM Esports,1/28/2024 10:06,15.01652815,45.05933858,37804.78507
Fukuoka SoftBank HAWKS gaming,1/28/2024 10:07,18.30667416,48.34948459,41725.6052
Hanwha Life Esports,1/28/2024 10:40,-9.781750598,20.26105983,37948.96507
T1,1/28/2024 10:40,17.15608014,47.19889057,88403.52204
Fukuoka SoftBank HAWKS gaming,1/28/2024 10:59,16.42335637,46.4661668,40100.30195
GAM Esports,1/28/2024 11:02,16.62423735,46.66704778,39153.65309
LNG Esports,1/28/2024 11:19,26.10401785,56.14682828,102524.1084
Vikings Esports,1/28/2024 12:13,34.03068869,64.07349912,53757.66576
LNG Esports,1/28/2024 12:15,17.74614541,47.78895584,87262.63336
Vikings Esports,1/28/2024 12:57,23.5925266,53.63533703,45000.04777
paiN Gaming,1/28/2024 18:18,3.156654329,33.19946476,21048.46066
Fnatic,1/28/2024 18:28,-6.52114825,23.52166218,36270.40308
G2 Esports,1/28/2024 18:28,17.38776053,47.43057096,73137.94042
MAD Lions KOI,1/28/2024 19:30,-8.306714981,21.73609545,33517.05918
100 Thieves,1/28/2024 20:15,17.28381919,47.32662962,70327.37162
FlyQuest,1/28/2024 21:55,-17.34920646,12.69360397,18862.6955
Team Liquid,1/28/2024 22:51,11.92108392,41.96389435,62358.347
Bilibili Gaming,1/29/2024 11:19,23.91827361,53.96108404,98532.93946
Bilibili Gaming,1/29/2024 12:17,17.47451726,47.51732769,86766.64036
Fnatic,1/29/2024 17:58,33.14089571,63.18370614,97429.27487
G2 Esports,1/29/2024 18:55,21.98960808,52.03241851,80233.98934
MAD Lions KOI,1/29/2024 20:01,7.506722422,37.54953285,57901.37966
Dplus KIA,1/31/2024 8:08,-13.38882319,16.65398724,31192.9181
Dplus KIA,1/31/2024 9:10,-9.21720756,20.82560287,39006.35418
Movistar R7,1/31/2024 23:56,23.12136081,53.16417124,30994.71183
T1,2/1/2024 8:05,19.94847174,49.99128217,93633.6715
T1,2/1/2024 8:56,9.739125685,39.78193612,74511.56634
Vikings Esports,2/1/2024 10:07,-5.759204708,24.28360572,20373.9452
Vikings Esports,2/1/2024 11:06,-15.2989412,14.74386923,12370.10628
LNG Esports,2/1/2024 11:21,-6.583687486,23.45912294,42836.3585
Weibo Gaming,2/1/2024 11:21,21.4585465,51.50135693,94041.47775
GAM Esports,2/1/2024 12:14,22.76835877,52.8111692,44308.57096
Weibo Gaming,2/1/2024 12:27,-11.74371789,18.29909254,33414.14298
LNG Esports,2/1/2024 12:27,19.0935791,49.13638953,89723.04728
PSG Talon,2/1/2024 12:41,26.45592016,56.49873059,48758.4045
GAM Esports,2/1/2024 13:02,14.6125619,44.65537233,37465.85738
LNG Esports,2/1/2024 13:21,18.68248144,48.72529187,88972.38295
Weibo Gaming,2/1/2024 13:21,-11.94900078,18.09380965,33039.29642
PSG Talon,2/1/2024 13:33,12.04792127,42.0907317,36324.30146
Movistar R7,2/1/2024 22:06,39.22467334,69.26748377,40382.94304
Movistar R7,2/1/2024 22:52,16.54344318,46.58625361,27159.78585
Gen.G,2/2/2024 8:06,16.19833343,46.24114386,86609.66245
Gen.G,2/2/2024 9:01,24.61130548,54.65411591,102367.1591
Dplus KIA,2/2/2024 10:37,-17.94107079,12.10173964,22666.55835
Hanwha Life Esports,2/2/2024 10:37,31.19081944,61.23362987,114690.5887
Dplus KIA,2/2/2024 11:28,-2.96190673,27.0809037,50722.53263
Hanwha Life Esports,2/2/2024 11:28,6.400986161,36.44379659,68259.23101
Team Liquid,2/2/2024 22:07,-14.16245073,15.8803597,23598.21451
100 Thieves,2/2/2024 23:54,-19.74275825,10.30005218,15305.87754
FlyQuest,2/2/2024 23:54,20.21226176,50.25507219,74679.03727
Top Esports,2/3/2024 7:17,22.84777313,52.89058356,96578.20558
Top Esports,2/3/2024 8:05,34.3286489,64.37145933,117542.2847
T1,2/3/2024 9:41,6.597460731,36.64027116,68627.22788
Fukuoka SoftBank HAWKS gaming,2/3/2024 10:17,-15.16609492,14.87671551,12838.60549
T1,2/3/2024 10:26,14.96273013,45.00554056,84295.37747
Fukuoka SoftBank HAWKS gaming,2/3/2024 11:16,5.585220705,35.62803114,30746.99087
PSG Talon,2/3/2024 11:23,32.90070996,62.94352039,54320.2581
GAM Esports,2/3/2024 12:08,16.85864598,46.90145641,39350.32193
Vikings Esports,2/3/2024 12:08,-7.990957221,22.05185321,18501.50484
PSG Talon,2/3/2024 12:14,38.09161899,68.13442942,58800.01259
Bilibili Gaming,2/3/2024 12:34,11.12113982,41.16395025,75165.37316
GAM Esports,2/3/2024 13:09,31.40436782,61.44717825,51554.18255
Vikings Esports,2/3/2024 13:09,-17.90655394,12.13625649,10182.3192
Bilibili Gaming,2/3/2024 13:15,16.90264187,46.9454523,85722.3959
G2 Esports,2/3/2024 17:54,28.27974638,58.32255681,89933.3826
paiN Gaming,2/3/2024 18:00,22.80944373,52.85225416,33508.32914
G2 Esports,2/3/2024 18:47,29.82938066,59.87219109,92322.91866
Team Liquid,2/3/2024 21:06,-0.018022313,30.02478812,44616.83514
FlyQuest,2/3/2024 21:58,14.73636277,44.7791732,66541.85138
100 Thieves,2/3/2024 22:48,24.71801458,54.76082501,81374.58596
Hanwha Life Esports,2/4/2024 6:05,11.32646151,41.36927194,77484.64634
Hanwha Life Esports,2/4/2024 6:52,-12.23817683,17.8046336,33348.07873
Hanwha Life Esports,2/4/2024 7:51,18.74550973,48.78832016,91380.52366
Gen.G,2/4/2024 9:19,15.56018334,45.60299377,85414.40733
LNG Esports,2/4/2024 9:20,15.20136697,45.2441774,82615.86793
LNG Esports,2/4/2024 10:11,-11.21693365,18.82587678,34376.051
Gen.G,2/4/2024 10:13,17.85270028,47.89551071,89708.29156
Fukuoka SoftBank HAWKS gaming,2/4/2024 10:15,-21.06480164,8.97800879,7748.021586
LNG Esports,2/4/2024 11:00,-3.001377975,27.04143246,49377.65566
Fukuoka SoftBank HAWKS gaming,2/4/2024 11:07,6.863132798,36.90594323,31849.82901
Weibo Gaming,2/4/2024 11:19,7.178884945,37.22169538,67966.81575
Weibo Gaming,2/4/2024 12:35,19.14583588,49.18864631,89818.46816
paiN Gaming,2/4/2024 17:12,19.83961778,49.88242821,31625.45949
MAD Lions KOI,2/4/2024 17:46,-8.352906614,21.68990382,33445.83168
Fnatic,2/4/2024 17:46,16.61056585,46.65337628,71939.50622
MAD Lions KOI,2/4/2024 18:32,1.470462342,31.51327277,48593.46661
Fnatic,2/4/2024 18:32,3.075540433,33.11835086,51068.49703
FlyQuest,2/4/2024 21:07,17.20110785,47.24391828,70204.46256
Team Liquid,2/4/2024 21:51,7.906098675,37.94890911,56392.07893
100 Thieves,2/4/2024 22:38,24.04020188,54.08301231,80367.35629
G2 Esports,2/5/2024 17:52,34.39272304,64.43553347,99359.59261
Fnatic,2/5/2024 17:52,-22.88821265,7.15459778,11032.38978
Fnatic,2/5/2024 18:43,18.09043296,48.13324339,74221.46131
G2 Esports,2/5/2024 18:43,-11.98068714,18.06212329,27851.79411
G2 Esports,2/5/2024 19:33,25.66490815,55.70771858,85901.30205
Fnatic,2/5/2024 19:33,-11.45676758,18.58604285,28659.67807
LNG Esports,2/6/2024 11:19,-12.6770707,17.36573973,31709.84075
Bilibili Gaming,2/6/2024 11:19,17.09018152,47.13299195,86064.8433
