league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LCK,2/28/2024 14:09,2,top,Zeus,T1,K'Sante,1501,1,3,0,0,3,0.166666667,0,0,0,741.5456,0.219193,794.5103,0.3198,0.2398,1.1592,0.204635,10.2732
LCK,2/29/2024 6:15,1,top,Kingen,Dplus KIA,Aatrox,1695,1,4,0,4,8,0.727272727,0,0,0,558.7965,0.336955,516.4602,0.4602,0.2478,1.1681,0.233865,9.5221
LCK,2/29/2024 7:05,2,top,Kingen,Dplus KIA,Smolder,1979,1,5,2,4,4.5,0.75,0,0,0,868.8631,0.349782,609.429,0.2425,0.091,0.6064,0.226908,9.338
VCS,2/29/2024 10:06,1,top,Kratos,Vikings Esports,Malphite,2217,1,1,2,9,5,0.625,0,0,0,322.0298,0.11758,736.0758,0.4601,0.3518,1.3532,0.182988,7.4966
VCS,2/29/2024 11:01,2,top,Kratos,Vikings Esports,K'Sante,2201,1,3,2,8,5.5,0.392857143,0,0,0,545.4793,0.180374,852.4852,0.2181,0.109,0.5997,0.199078,7.6329
LPL,2/29/2024 12:07,1,top,Zdz,Weibo Gaming,Udyr,1958,1,1,0,2,3,0.428571429,0,,,482.237,0.21405,715.0664,0.3371,0.3371,1.379,0.171418,7.1399
VCS,2/29/2024 12:09,1,top,Kiaya,GAM Esports,Jayce,1921,0,3,8,1,0.5,0.571428571,0,0,1,785.2473,0.333095,831.8168,0.4373,0.2186,1.1244,0.259632,7.9958
LPL,2/29/2024 12:59,2,top,Zdz,Weibo Gaming,K'Sante,1731,0,0,4,0,0,0,0,,,330.0173,0.260527,1050.6412,0.2426,0.1733,0.8666,0.20952,8.2842
VCS,2/29/2024 12:59,2,top,Kiaya,GAM Esports,Jax,1766,1,1,1,4,5,0.25,0,0,0,453.9071,0.148216,841.2911,0.5096,0.2718,1.427,0.21127,9.581
LPL,2/29/2024 13:46,3,top,Zdz,Weibo Gaming,Udyr,2135,0,0,5,1,0.2,0.083333333,0,,,557.171,0.224581,910.8759,0.3934,0.3934,1.63,0.163288,7.1101
VCS,2/29/2024 14:00,3,top,Kiaya,GAM Esports,Udyr,2596,0,2,2,1,1.5,0.5,0,0,0,408.0971,0.137653,915.9707,0.3929,0.1387,0.9938,0.240749,7.4191
LCK,3/1/2024 6:13,1,top,Doran,Hanwha Life Esports,Gwen,2162,0,3,8,6,1.125,0.642857143,0,0,0,660.1388,0.300607,1074.8659,0.2498,0.2775,1.0823,0.227575,7.7706
LCK,3/1/2024 7:10,2,top,Doran,Hanwha Life Esports,K'Sante,2472,1,2,1,2,4,0.333333333,0,0,0,277.2087,0.170036,583.8107,0.2913,0.4126,1.4806,0.213932,8.8835
LPL,3/1/2024 7:17,1,top,Bin,Bilibili Gaming,Aatrox,1802,1,5,5,6,2.2,0.523809524,0,,1,557.1143,0.188574,978.9456,0.333,0.0666,0.7325,0.240532,8.9567
LPL,3/1/2024 8:09,2,top,Bin,Bilibili Gaming,Gnar,2739,1,2,4,9,2.75,0.47826087,0,,,567.9956,0.162972,818.7733,0.3724,0.3067,0.9858,0.252775,8.5652
LCK,3/1/2024 8:13,3,top,Doran,Hanwha Life Esports,Udyr,1714,1,1,4,4,1.25,0.416666667,1,0,0,333.0455,0.152365,497.1179,0.3851,0.175,1.0852,0.209673,8.0863
LCK,3/1/2024 9:29,1,top,Kiin,Gen.G,Twisted Fate,1760,1,4,0,4,8,0.666666667,0,0,0,623.2841,0.369563,290.6591,0.4773,0.2045,1.0909,0.241585,9.75
LPL,3/1/2024 9:46,1,top,369,Top Esports,Gnar,1865,1,6,2,5,5.5,0.785714286,0,,,789.3298,0.269515,744.6113,0.3217,0.0965,0.7078,0.29815,10.4236
LCK,3/1/2024 10:20,2,top,Kiin,Gen.G,Tristana,2125,1,2,4,6,2,0.421052632,0,1,0,333.6282,0.133059,517.8918,0.48,0.2259,1.0165,0.18056,8.7247
LPL,3/1/2024 10:37,2,top,369,Top Esports,Jax,1585,0,2,1,0,2,0.666666667,0,,,438.6625,0.321335,700.2397,0.4543,0,0.7192,0.310496,9.388
LPL,3/1/2024 11:25,3,top,369,Top Esports,Ornn,1495,1,2,0,8,10,0.454545455,0,,,538.8361,0.141324,776.1472,0.4013,0.1605,0.8428,0.173189,7.786
PCS,3/1/2024 11:41,1,top,Azhi,PSG Talon,Aatrox,1584,1,3,0,5,8,0.32,0,0,0,663.7121,0.211501,917.0076,0.4167,0.1515,0.8333,0.186428,8.1818
PCS,3/1/2024 12:32,2,top,Azhi,PSG Talon,Aatrox,2271,0,1,2,2,1.5,0.375,0,0,0,521.1361,0.180753,1177.8336,0.3699,0.317,1.2946,0.19517,7.0542
PCS,3/1/2024 13:33,3,top,Azhi,PSG Talon,Udyr,1764,1,1,0,14,15,0.833333333,0,1,0,674.966,0.206032,878.4694,0.4422,0.2381,1.1905,0.173305,5.9864
LCK,3/2/2024 7:23,1,top,Zeus,T1,Aatrox,1809,1,4,3,5,3,0.409090909,0,0,0,861.99,0.280838,1257.0481,0.2653,0.1327,0.7629,0.220029,9.3201
LCK,3/2/2024 8:13,2,top,Zeus,T1,Aatrox,1857,1,6,2,6,6,0.52173913,0,0,0,630.1454,0.245853,935.6058,0.3231,0.0969,1.0339,0.258821,10.0808
LPL,3/2/2024 9:17,1,top,Zika,LNG Esports,K'Sante,1459,1,4,0,16,20,0.909090909,1,,,692.5703,0.223853,790.8156,0.4112,0.2056,1.1515,0.22456,8.2659
VCS,3/2/2024 10:04,1,top,Kratos,Vikings Esports,Udyr,1719,1,0,2,6,3,0.5,0,0,0,494.6248,0.18696,701.5009,0.349,0.1396,0.8377,0.176278,7.6789
LPL,3/2/2024 10:06,2,top,Zika,LNG Esports,Gwen,1899,0,3,2,0,1.5,0.428571429,0,,,652.6698,0.258856,824.1074,0.3476,0.2844,1.0427,0.261722,9.5419
VCS,3/2/2024 10:52,2,top,Kratos,Vikings Esports,K'Sante,1729,1,4,0,7,11,0.647058824,0,0,0,502.2788,0.188655,778.369,0.3817,0.2082,1.1452,0.193999,8.7102
LPL,3/2/2024 10:59,3,top,Zika,LNG Esports,Gwen,1853,1,5,2,5,5,0.625,0,,1,663.3028,0.259604,658.9638,0.3238,0.3238,1.2304,0.254344,9.293
VCS,3/2/2024 11:55,1,top,Kiaya,GAM Esports,Gnar,1992,1,3,2,2,2.5,0.625,0,0,0,695.3313,0.324816,659.0663,0.5723,0.3012,1.4759,0.308994,10.0301
VCS,3/2/2024 12:47,2,top,Kiaya,GAM Esports,Rumble,2173,0,6,8,7,1.625,0.722222222,1,0,0,616.7602,0.268328,711.4404,0.5246,0.1657,1.0492,0.204022,6.5992
VCS,3/2/2024 13:52,3,top,Kiaya,GAM Esports,Jax,1862,1,4,2,5,4.5,0.473684211,0,1,0,630.1933,0.225277,1031.5682,0.5156,0.1933,1.1278,0.233247,8.217
CBLOL,3/2/2024 17:10,1,top,Wizer,paiN Gaming,Jayce,1745,0,2,3,3,1.666666667,0.5,0,0,0,576.4814,0.271677,396.3438,0.4814,0.0688,0.9971,0.236036,9.0086
LCS,3/2/2024 22:06,1,top,Bwipo,FlyQuest,Aatrox,1782,0,2,5,0,0.4,0.5,0,0,1,579.0236,0.256217,725.1515,0.4377,0.101,0.9764,0.227636,8.4175
LCS,3/2/2024 22:59,1,top,Impact,Team Liquid,K'Sante,2608,0,5,1,5,10,0.714285714,1,0,0,787.0169,0.277646,1132.684,0.2991,0.2531,0.8282,0.224032,7.2239
LCS,3/3/2024 0:02,1,top,Sniper,100 Thieves,Renekton,2023,1,5,5,4,1.8,0.45,1,0,0,571.1419,0.188414,947.6026,0.3559,0.1186,1.0084,0.233473,8.2748
LCK,3/3/2024 4:14,1,top,Kingen,Dplus KIA,Aatrox,3285,1,3,2,4,3.5,0.5,0,0,0,493.7169,0.206898,796.9132,0.2192,0.4018,1.3516,0.263666,9.3516
LCK,3/3/2024 5:31,2,top,Kingen,Dplus KIA,Aatrox,1876,0,2,4,1,0.75,0.3,0,0,0,410.7889,0.196752,987.1855,0.3518,0.2559,1.1194,0.210365,7.9318
LCK,3/3/2024 6:24,3,top,Kingen,Dplus KIA,Aatrox,3100,1,2,1,9,11,0.6875,0,0,0,455.1871,0.229243,779.3806,0.271,0.5613,1.7226,0.234922,9.7742
LPL,3/3/2024 7:16,1,top,Zdz,Weibo Gaming,Aatrox,2731,0,5,4,4,2.25,0.692307692,0,,,716.0015,0.322012,1019.1432,0.3735,0.3295,1.2743,0.293107,9.0077
LCK,3/3/2024 8:03,1,top,Doran,Hanwha Life Esports,K'Sante,1836,1,0,1,10,10,0.666666667,0,0,0,366.9281,0.149543,777.7778,0.3268,0.2614,1.1438,0.179997,8.0392
LPL,3/3/2024 8:21,2,top,Zdz,Weibo Gaming,Smolder,1999,0,1,4,4,1.25,0.454545455,0,,,1000.4902,0.405105,583.5818,0.5703,0.2401,1.0805,0.213931,7.5338
LCK,3/3/2024 8:54,2,top,Doran,Hanwha Life Esports,Kennen,1836,1,3,1,5,8,0.444444444,0,0,0,713.9216,0.250493,457.3529,0.4575,0.1961,1.3072,0.225158,8.6928
LJL,3/3/2024 9:15,1,top,Evi,Fukuoka SoftBank HAWKS gaming,K'Sante,1885,1,2,2,6,4,0.533333333,0,1,0,517.6233,0.192236,864.9231,0.4775,0.3183,1.5597,0.195947,7.0981
LJL,3/3/2024 10:09,2,top,Evi,Fukuoka SoftBank HAWKS gaming,Aatrox,1824,1,2,4,7,2.25,0.642857143,0,0,0,598.6842,0.255392,1009.3092,0.3947,0.1974,0.9539,0.233424,8.2566
LJL,3/3/2024 11:05,3,top,Evi,Fukuoka SoftBank HAWKS gaming,Akali,2029,1,4,3,5,3,0.321428571,0,1,0,419.1424,0.156987,851.2666,0.3253,0.1479,1.035,0.182841,6.7422
PCS,3/3/2024 12:30,1,top,Azhi,PSG Talon,Rumble,1652,1,1,0,11,12,0.857142857,0,0,0,770.5206,0.304559,272.9056,0.5085,0.2179,1.3075,0.228327,8.7167
PCS,3/3/2024 13:20,2,top,Azhi,PSG Talon,Udyr,1927,0,1,2,0,0.5,0.166666667,0,0,0,379.616,0.19649,627.1821,0.467,0.2491,1.3077,0.206368,6.9746
PCS,3/3/2024 14:17,3,top,Azhi,PSG Talon,Udyr,2109,1,1,1,8,9,0.5,0,0,0,419.3457,0.164857,569.2461,0.4552,0.4836,1.3656,0.199902,7.4822
CBLOL,3/3/2024 19:43,1,top,Wizer,paiN Gaming,Gnar,1770,1,7,1,6,13,0.722222222,1,0,0,774.3729,0.352836,798.2373,0.4407,0.2034,1.1525,0.228516,8.4407
