league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LCK,1/21/2024 9:35,2,bot,Aiming,Dplus KIA,Lucian,2700,0,3,4,4,1.75,0.411764706,0,0,0,653.4,0.317774,485.9556,0.4222,0.5333,1.5778,0.269165,10.4444
LCK,1/21/2024 10:46,3,bot,Aiming,Dplus KIA,Zeri,2350,0,3,2,0,1.5,0.6,0,0,0,456.8936,0.307548,476.5021,0.3574,1.1234,2.3234,0.328793,12.4851
LJL,1/21/2024 13:22,1,bot,Marble,Fukuoka SoftBank HAWKS gaming,Jhin,1613,1,8,2,9,8.5,0.708333333,0,0,0,608.4439,0.199895,341.2151,0.5208,0.0744,0.8555,0.250164,8.4439
LJL,1/21/2024 14:11,2,bot,Marble,Fukuoka SoftBank HAWKS gaming,Lucian,1584,1,8,2,8,8,0.761904762,0,0,0,691.5909,0.29028,378.5606,0.5682,0.4545,1.7803,0.290279,9.5076
LEC,1/21/2024 16:06,1,bot,Supa,MAD Lions KOI,Kalista,1974,0,1,5,1,0.4,0.4,0,0,0,474.5593,0.233368,721.7933,0.304,0.2432,1.0334,0.235853,8.6018
LEC,1/21/2024 17:03,1,bot,Noah,Fnatic,Kalista,1854,1,8,1,4,12,0.8,1,0,0,371.9417,0.181226,372.6861,0.3883,0.5178,1.9094,0.28785,10.8091
LEC,1/21/2024 17:59,1,bot,Hans Sama,G2 Esports,Varus,1699,1,4,0,8,12,0.75,0,0,0,742.9547,0.282552,202.7781,1.0948,0.4591,2.5427,0.234861,9.6763
LCS,1/21/2024 20:12,1,bot,Yeon,Team Liquid,Zeri,2023,1,5,0,6,11,0.733333333,0,0,0,775.5512,0.311186,571.6164,0.2373,0.5042,1.2753,0.274985,9.9654
CBLOL,2/4/2024 17:12,1,bot,TitaN,paiN Gaming,Varus,1770,1,4,0,5,9,0.818181818,0,0,0,635.2881,0.294999,256.7797,0.5085,0.2373,1.0847,0.271801,10.2373
LCS,1/21/2024 21:58,1,bot,Massu,FlyQuest,Jhin,1852,1,3,0,6,9,0.75,1,0,0,499.3413,0.2319,333.7581,0.6803,0.2268,1.2959,0.22199,9.0065
LPL,1/22/2024 9:24,1,bot,Elk,Bilibili Gaming,Varus,1623,1,1,2,8,4.5,0.529411765,0,0,0,476.0444,0.163639,343.6969,0.6285,0.1479,1.2569,0.202541,9.0203
LPL,1/22/2024 9:24,1,bot,JackeyLove,Top Esports,Kalista,1623,0,0,3,3,1,1,0,0,0,244.7689,0.160336,514.2699,0.3697,0.3697,0.9242,0.254527,8.7985
LPL,1/22/2024 10:14,2,bot,JackeyLove,Top Esports,Kalista,1834,1,8,2,5,6.5,0.866666667,0,,,835.4853,0.307827,700.4035,0.3599,0.7852,1.8648,0.289159,10.3053
LPL,1/22/2024 10:14,2,bot,Elk,Bilibili Gaming,Xayah,1834,0,1,4,1,0.5,0.333333333,0,,,559.6292,0.239478,475.7797,0.3926,0.3599,1.4068,0.220455,8.6369
LPL,1/22/2024 11:06,3,bot,Elk,Bilibili Gaming,Varus,1649,1,5,3,5,3.333333333,0.526315789,0,1,,911.4251,0.276107,490.5155,0.4002,0.3275,1.0916,0.219629,8.6962
LPL,1/22/2024 11:06,3,bot,JackeyLove,Top Esports,Kalista,1649,0,2,5,3,1,0.833333333,0,,1,457.6956,0.238413,767.3742,0.4002,0.473,1.3099,0.238939,8.114
LEC,1/22/2024 17:00,1,bot,Noah,Fnatic,Kalista,1688,1,2,1,4,6,0.6,0,0,0,338.2464,0.158775,372.0853,0.4265,0.3555,1.1374,0.249489,9.5616
LEC,1/22/2024 17:53,1,bot,Supa,MAD Lions KOI,Aphelios,1564,1,9,0,7,16,0.8,0,0,0,938.0179,0.367845,211.7647,0.3069,0.3069,1.4194,0.259099,7.8645
LEC,1/22/2024 18:45,1,bot,Hans Sama,G2 Esports,Seraphine,1913,0,0,1,1,1,0.5,0,0,0,339.2682,0.214368,361.6623,0.7527,0.1568,1.1291,0.210734,8.4056
LLA,1/23/2024 22:07,1,bot,Ceo,Movistar R7,Varus,1991,1,4,0,2,6,0.6,0,0,0,314.1637,0.200469,274.4751,0.5726,0.452,1.7177,0.264224,11.6022
LLA,1/23/2024 23:00,2,bot,Ceo,Movistar R7,Lucian,1775,1,3,1,4,7,0.636363636,1,0,0,659.5606,0.273427,446.8056,0.9465,0.3042,2.062,0.231605,9.5324
CBLOL,2/10/2024 17:14,1,bot,TitaN,paiN Gaming,Caitlyn,2011,1,9,1,8,17,0.85,0,0,0,846.9816,0.335635,429.4281,0.4774,0.4177,1.2829,0.288548,9.6072
CBLOL,2/11/2024 16:13,1,bot,TitaN,paiN Gaming,Lucian,1707,1,10,3,13,7.666666667,0.884615385,1,0,0,1134.7979,0.369647,556.3445,0.5272,0.1757,1.0896,0.292303,9.877
LCK,1/25/2024 8:07,1,bot,Aiming,Dplus KIA,Lucian,1558,1,5,0,3,8,0.533333333,0,0,0,495.8665,0.229719,352.6829,1.0398,0.2696,1.9255,0.254666,9.7818
LCK,1/25/2024 8:53,2,bot,Aiming,Dplus KIA,Lucian,1561,1,3,0,4,7,0.411764706,0,0,0,639.0903,0.271927,408.9686,0.9609,0.5766,2.46,0.229159,8.9174
PCS,1/25/2024 9:13,1,bot,Betty,PSG Talon,Lucian,1862,1,5,1,1,6,0.428571429,0,0,0,463.276,0.253192,427.1214,1.2567,1.2567,3.4157,0.24549,10.1826
LPL,1/25/2024 9:18,1,bot,Light,Weibo Gaming,Aphelios,2246,1,3,3,4,2.333333333,0.7,0,,,829.528,0.383782,602.3776,0.3206,0.7213,1.6028,0.277133,9.2164
PCS,1/25/2024 10:08,2,bot,Betty,PSG Talon,Caitlyn,1558,1,9,0,6,15,0.681818182,0,0,0,896.2259,0.351307,246.7009,0.3466,0.5777,1.6175,0.250125,9.3582
LPL,1/25/2024 10:17,2,bot,Light,Weibo Gaming,Kalista,1870,1,4,0,7,11,0.846153846,0,,,391.3155,0.233149,334.877,0.4813,0.6096,1.7968,0.274171,10.7487
LCK,1/25/2024 10:35,1,bot,Peyz,Gen.G,Aphelios,1902,1,3,1,7,10,0.625,0,0,0,362.8707,0.137499,249.1483,1.1041,0.6309,2.7445,0.215108,9.1798
LPL,1/25/2024 11:19,1,bot,GALA,LNG Esports,Aphelios,1876,0,1,3,0,0.333333333,0.333333333,0,,1,246.5885,0.185213,336.5885,0.2878,0.6077,1.4072,0.252308,9.1791
LCK,1/25/2024 11:26,2,bot,Peyz,Gen.G,Aphelios,1657,1,10,0,9,19,0.791666667,0,0,0,1126.4575,0.330824,351.7441,0.869,0.6518,2.3899,0.26424,8.9439
LPL,1/25/2024 12:14,2,bot,GALA,LNG Esports,Lucian,2238,1,4,1,1,5,0.714285714,0,,,565.0938,0.315604,482.0107,0.2413,0.4826,1.1796,0.287997,10.9115
LPL,1/25/2024 13:15,3,bot,GALA,LNG Esports,Varus,2221,0,5,3,7,4,0.545454545,0,1,,704.0342,0.265582,567.0959,0.3512,0.2701,1.0806,0.246443,9.5903
LLA,1/26/2024 0:11,1,bot,Ceo,Movistar R7,Draven,1465,1,6,2,7,6.5,0.684210526,0,0,0,786.5939,0.273414,561.5427,0.5734,0.1638,1.0648,0.258332,8.7235
