league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LCK,1/21/2024 8:48,1,sup,Kellin,Dplus KIA,Rakan,1544,1,0,0,8,8,0.727272727,0,0,0,133.4067,0.0664473,359.0674,2.487,0.7383,4.6244,0.0971512,1.5544
LCK,1/21/2024 9:35,2,sup,Kellin,Dplus KIA,Nami,2700,0,0,2,9,4.5,0.529411765,0,0,0,107.8222,0.0524382,187,1.7778,0.2444,3.2,0.0664216,0.8
LCK,1/21/2024 10:46,3,sup,Kellin,Dplus KIA,Yuumi,2350,0,0,2,3,1.5,0.6,0,0,0,188.0681,0.126594,229.7362,1.5064,0.0255,2.5277,0.081772,0.4596
VCS,1/21/2024 12:20,1,sup,Elio,GAM Esports,Milio,2016,1,0,1,18,18,0.782608696,0,1,0,133.4524,0.04738,431.994,1.6369,0.5655,3.244,0.123737,2.0536
VCS,1/21/2024 13:16,2,sup,Elio,GAM Esports,Milio,2232,1,0,2,15,7.5,0.882352941,0,0,0,104.5161,0.0421564,352.2849,1.9355,0.3226,3.5753,0.111428,1.7473
LJL,1/21/2024 13:22,1,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Neeko,1613,1,1,2,12,6.5,0.541666667,0,0,0,416.243,0.13675,463.261,1.2647,0.6324,3.2734,0.122212,0.8927
LJL,1/21/2024 14:11,2,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Milio,1584,1,0,2,16,8,0.761904762,0,0,0,121.553,0.0510191,420.5682,1.5152,0.4167,2.9924,0.101875,1.4015
LEC,1/21/2024 16:06,1,sup,Alvaro,MAD Lions KOI,Renata Glasc,1974,0,1,6,2,0.5,0.6,0,0,1,155.076,0.0762597,454.7112,1.7325,0.5775,3.8602,0.114484,1.1854
LEC,1/21/2024 17:03,1,sup,Jun,Fnatic,Neeko,1854,1,1,2,7,4,0.533333333,0,1,0,258.7055,0.126053,279.5793,1.6505,0.2589,3.2362,0.110476,1.1327
LEC,1/21/2024 17:59,1,sup,Mikyx,G2 Esports,Nautilus,1699,1,0,4,12,3,0.75,0,0,0,180.8476,0.068778,569.7705,1.6598,0.2119,2.9665,0.105295,0.8829
LCS,1/21/2024 20:12,1,sup,CoreJJ,Team Liquid,Lulu,2023,1,0,1,10,10,0.666666667,0,0,1,183.4404,0.0736047,289.7677,1.305,0.3262,2.7286,0.102601,1.127
CBLOL,1/21/2024 20:19,1,sup,Kuri,paiN Gaming,Milio,1689,1,0,0,18,18,0.75,0,0,0,110.2309,0.0376067,224.1563,1.3499,0.4973,3.3037,0.109571,1.1723
LCS,1/21/2024 21:06,1,sup,Eyla,100 Thieves,Nautilus,1811,0,1,5,3,0.8,0.8,0,0,0,147.6974,0.0786424,678.8183,0.9939,0.3976,2.1866,0.170656,5.566
LCS,1/21/2024 21:58,1,sup,Busio,FlyQuest,Ashe,1852,1,0,1,10,10,0.833333333,0,1,0,467.4946,0.21711,280.3672,2.6242,0.7775,5.0864,0.10502,1.3607
LPL,1/22/2024 9:24,1,sup,ON,Bilibili Gaming,Ashe,1623,1,3,1,10,13,0.764705882,0,0,0,391.5712,0.134599,256.3401,2.5878,0.8133,5.1756,0.141306,1.5896
LPL,1/22/2024 9:24,1,sup,Meiko,Top Esports,Nautilus,1623,0,1,4,2,0.75,1,0,0,0,123.549,0.0809331,591.2015,1.6636,0.2218,2.7357,0.0942449,1.146
LPL,1/22/2024 10:14,2,sup,Meiko,Top Esports,Renata Glasc,1834,1,2,2,10,6,0.8,0,,,219.9782,0.0810487,485.3653,1.5376,0.5889,3.1734,0.125116,0.9815
LPL,1/22/2024 10:14,2,sup,ON,Bilibili Gaming,Rakan,1834,0,1,3,0,0.333333333,0.166666667,0,,,248.277,0.106234,696.7721,2.9771,0.7525,5.0382,0.117006,1.145
LPL,1/22/2024 11:06,3,sup,ON,Bilibili Gaming,Renata Glasc,1649,1,1,1,14,15,0.789473684,1,,,313.681,0.095029,332.2013,2.6562,0.6549,4.4754,0.130638,1.4918
LPL,1/22/2024 11:06,3,sup,Meiko,Top Esports,Soraka,1649,0,1,3,4,1.666666667,0.833333333,0,,,164.245,0.0855446,287.0467,1.419,0.3275,2.3651,0.111362,1.128
LEC,1/22/2024 17:00,1,sup,Jun,Fnatic,Renata Glasc,1688,1,0,0,6,6,0.6,0,0,0,108.1991,0.0507892,328.0095,2.5592,0.8175,4.6919,0.109013,1.9194
LEC,1/22/2024 17:53,1,sup,Alvaro,MAD Lions KOI,Blitzcrank,1564,1,1,2,11,6,0.6,0,1,0,285.8056,0.112079,548.4783,1.688,0.3069,3.1074,0.123305,0.9591
LEC,1/22/2024 18:45,1,sup,Mikyx,G2 Esports,Sona,1913,0,0,4,1,0.25,0.5,0,0,0,211.2703,0.133492,426.5551,1.6309,0.5018,3.5442,0.111393,2.7601
LLA,1/23/2024 22:07,1,sup,Lyonz,Movistar R7,Renata Glasc,1991,1,0,0,7,7,0.7,0,0,0,94.8368,0.0605157,93.6313,1.5068,0.6027,3.5861,0.0926434,1.5671
LLA,1/23/2024 23:00,2,sup,Lyonz,Movistar R7,Milio,1775,1,1,0,8,9,0.818181818,0,1,0,114.8282,0.047603,307.2,1.6225,0.2366,3.0085,0.119734,1.6563
LCK,1/24/2024 8:06,1,sup,Delight,Hanwha Life Esports,Nami,1926,1,1,1,12,13,0.866666667,0,0,0,261.5265,0.101594,214.5794,1.4953,0.5607,3.0218,0.120269,2.1495
LCK,1/24/2024 9:00,2,sup,Delight,Hanwha Life Esports,Milio,1283,1,2,0,15,17,0.85,0,0,0,109.9454,0.0375865,215.8223,1.2627,0.4209,2.4318,0.134486,2.5721
LCK,1/25/2024 8:07,1,sup,Kellin,Dplus KIA,Nami,1558,1,0,1,12,12,0.8,0,0,0,233.4917,0.108169,294.57,1.2709,0.2311,2.5802,0.132531,2.4647
LCK,1/25/2024 8:53,2,sup,Kellin,Dplus KIA,Milio,1561,1,0,0,14,14,0.823529412,0,0,0,131.5695,0.0559817,197.335,1.23,0.3844,2.7675,0.124573,2.8059
PCS,1/25/2024 9:13,1,sup,Woody,PSG Talon,Milio,1862,1,0,1,8,8,0.571428571,0,0,0,66.1547,0.0361552,146.7454,1.4823,0.3867,3.0934,0.117004,2.3201
LPL,1/25/2024 9:18,1,sup,Crisp,Weibo Gaming,Milio,2246,1,0,0,10,10,1,0,,,107.2306,0.0496111,259.3411,1.7097,0.3206,3.2591,0.110802,1.0151
PCS,1/25/2024 10:08,2,sup,Woody,PSG Talon,Bard,1558,1,0,2,18,9,0.818181818,0,0,0,338.819,0.132812,209.3453,2.8883,0.9628,5.6226,0.120858,1.2709
LPL,1/25/2024 10:17,2,sup,Crisp,Weibo Gaming,Renata Glasc,1870,1,1,0,12,13,1,0,,,193.2834,0.115161,338.4706,2.8877,0.5455,4.5882,0.11295,1.3797
LCK,1/25/2024 10:35,1,sup,Lehends,Gen.G,Nautilus,1902,1,0,1,7,7,0.4375,0,0,0,151.2618,0.057316,705.4574,1.735,0.5363,3.123,0.118314,3.9432
LPL,1/25/2024 11:19,1,sup,Mark,LNG Esports,Milio,1876,0,0,1,1,1,0.333333333,0,,,64.2537,0.0482719,236.4179,1.6311,0.2239,3.0064,0.0876509,1.0874
LCK,1/25/2024 11:26,2,sup,Lehends,Gen.G,Milio,1657,1,0,2,19,9.5,0.791666667,0,0,0,118.8413,0.0349019,447.8093,1.376,0.6156,3.1503,0.12324,2.2812
LPL,1/25/2024 12:14,2,sup,Mark,LNG Esports,Nami,2238,1,0,2,4,2,0.571428571,0,,,116.0322,0.0647972,290.2413,1.4477,0.3753,3.1099,0.09028,0.8579
LPL,1/25/2024 13:15,3,sup,Mark,LNG Esports,Renata Glasc,2221,0,3,2,13,8,0.727272727,1,,,109.4912,0.0413008,437.2085,2.3233,0.4593,4.0522,0.123061,1.1616
LLA,1/26/2024 0:11,1,sup,Lyonz,Movistar R7,Renata Glasc,1465,1,1,0,14,15,0.789473684,0,0,0,177.9113,0.0618407,214.8942,1.5563,0.4096,3.2355,0.124695,1.3925
LLA,1/26/2024 0:55,2,sup,Lyonz,Movistar R7,Milio,1886,1,0,1,21,21,0.875,0,1,0,132.3436,0.0387081,347.2428,1.6225,0.1591,2.8314,0.102886,0.8908
LCK,1/26/2024 8:07,1,sup,Keria,T1,Nautilus,2130,0,2,6,3,0.833333333,0.384615385,0,0,0,137.5493,0.0883465,386.7324,2.0845,0.4225,3.493,0.0996756,1.2394
LCK,1/26/2024 9:05,2,sup,Keria,T1,Tahm Kench,1271,1,1,1,11,12,0.52173913,0,0,0,283.5248,0.0903742,572.62,1.5106,0.1416,2.2187,0.107066,0.8497
LCK,1/26/2024 9:48,3,sup,Keria,T1,Nami,1751,1,1,0,11,12,0.75,0,0,0,240.0343,0.111263,276.8361,1.542,0.3427,3.1525,0.114526,1.8504
VCS,1/26/2024 10:05,1,sup,Elio,GAM Esports,Nami,1883,1,1,3,18,6.333333333,0.904761905,0,0,0,358.7892,0.11378,402.1561,1.6251,0.0956,2.581,0.111667,1.9118
VCS,1/26/2024 10:56,2,sup,Elio,GAM Esports,Rell,1733,1,0,3,22,7.333333333,0.75862069,0,1,0,198.3843,0.0637134,512.3024,1.5926,0.2077,2.9775,0.103421,0.6232
LPL,1/26/2024 11:33,1,sup,ON,Bilibili Gaming,Milio,1915,1,3,1,15,18,0.782608696,1,,,140.3655,0.0614938,308.0836,1.7546,0.47,3.3838,0.15147,1.9739
VCS,1/26/2024 11:57,1,sup,Kairi,Vikings Esports,Nautilus,2202,1,2,8,11,1.625,0.619047619,0,0,1,181.6076,0.0607372,636.8937,1.5531,0.3815,2.8065,0.0963073,1.0354
LPL,1/26/2024 12:25,2,sup,ON,Bilibili Gaming,Tahm Kench,2244,1,0,0,8,8,0.571428571,0,,,208.3155,0.101617,852.139,1.0963,0.3209,2.3797,0.194671,6.8717
VCS,1/26/2024 12:53,2,sup,Kairi,Vikings Esports,Rell,2010,1,0,3,16,5.333333333,0.761904762,0,0,0,109.3134,0.0344448,501.1343,1.6119,0.7164,3.4627,0.0923122,1.1343
LCK,1/27/2024 6:08,1,sup,Lehends,Gen.G,Ashe,2224,0,0,3,4,1.333333333,0.571428571,0,0,1,299.6493,0.171476,242.1313,3.2644,1.0252,5.8543,0.111529,2.0504
